Latitud,Longitud,"ID",Titulo,Anunciante,Descripcion,Reformado,Telefonos,Tipo,Precio,Precio por metro,Direccion,Provincia,Ciudad,Calle,Barrio,Distrito,Metros cuadrados,Habitaciones,Baños,Balcón,Segunda mano,Armarios Empotrados,Cocina Equipada,Amueblado,Cocina equipada,Certificación energética,Planta,Exterior,Interior,Ascensor,Aire acondicionado,Fecha,Metros cuadrados útiles,Construido en,Calefacción individual,Piscina,Terraza,Trastero,Parking,Apto para personas con movilidad reducida,Se admiten mascotas,Jardín
40.4301951,-3.6749609,86416695,"Alquiler de Piso en calle del Conde de Peñalver, 52",Profesional   Conde Peñalver Antonio,"""Magnífica oficina o vivienda, acabados en materiales nobles, portero físico, vídeo portero, ascensor, finca de reciente rehabilitación en zona céntrica próxima a comercios y transporte público. IMPRESCINDIBLE AVAL BANCARIO (MÍNIMO EQUIVALENTE A 6 MENSUALIDADES). GASTOS DE COMUNIDAD INCLUIDOS.""",FALSE,610 207 536,piso,2000,13.33,"Calle del Conde de Peñalver, 52, Barrio Lista, Distrito Salamanca, Madrid, Madrid capital, Madrid","Madrid capital, Madrid",Madrid,"Calle del Conde de Peñalver, 52", Barrio Lista , Distrito Salamanca ,150,3,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,5,TRUE,FALSE,TRUE,TRUE,2019/8/9,,,,,,,,,,
40.4315534,-3.6777435,86881144,Alquiler de Piso en calle de Juan Bravo,Profesional   Diplomatic ReaL Estate,"""Extraordinario piso con reforma de calidad a estrenar.Salón de 40 m2 con grandes ventanales y recibidor.4 dormitorios, el principal con 20 m2, baño en suite moderno y armario-vestidor. Otro dormitorio con baño en suite. El tercer y cuarto dormitorio comparten baño. Aseo invitadosCocina en isla semi integrada al salón a estrenar de diseño y totalmente equipada. Office,Calefacción central, aire acondicionado y servicio de portería. Garaje opcional a pocos metros a 150 euros. Bien comunicado por metro Núñez de Balboa y Diego de León.Situado en la calle Juan Bravo del distrito de Salamanca, con abundante arbolado centenario, cafés y bares con terraza y todo tipo de comercios, centro médico y colegios prestigiosos.""",FALSE,911 221 874,piso,3900,19.21,"Calle de Juan Bravo, Barrio Lista, Distrito Salamanca, Madrid, Madrid capital, Madrid","Madrid capital, Madrid",Madrid,Calle de Juan Bravo, Barrio Lista , Distrito Salamanca ,203,4,4,,TRUE,TRUE,TRUE,FALSE,TRUE,en trámite,3,TRUE,FALSE,TRUE,TRUE,2019/9/30,175,1955,,,,,,,,
40.4313163,-3.6740448,86883966,Alquiler de Piso en calle de José Ortega y Gasset,Profesional   LIBRE GESTIÓN MADRID,"""Libre gestión madrid.""",FALSE,914 894 813,piso,1400,16.47,"Calle de José Ortega y Gasset, Barrio Lista, Distrito Salamanca, Madrid, Madrid capital, Madrid","Madrid capital, Madrid",Madrid,Calle de José Ortega y Gasset, Barrio Lista , Distrito Salamanca ,85,2,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,en trámite,2,TRUE,FALSE,FALSE,TRUE,2019/9/11,80,,eléctrica,,,,,,,
40.4340844,-3.6731718,87052557,Alquiler de Piso en calle de Francisco Silvela,Profesional   JJS CONSULTING SON S.C.,""""" PROFESIONAL ALQUILA:Gran piso para familia, muy luminosos, 4 dormitorios, (la sala de estar podría utilizarse como otro dormitorio) 3 baños, un salón, un cuarto de estar, una cocina totalmente equipada con lavadora, lavavajillas, nevera con congelador, vitroceramica, horno, encimera, y una amplia despensa.Perfecta comunicación con varias lineas de autobús entre ellas la circular, y estaciones de metro como cartagena, diego de león, avenida de américa, goya, lista y manuel becerra.Disponibles hasta dos plazas de garaje a parte.Piscina comunitaria en octava planta con impresionantes vistas panorámicas a todo Madrid (apertura los meses de verano)Gastos:Electricidad y agua individuales.Calefacción central a negociar.(Fotos no actualizadas, se actualizaran lo antes posible).Requisitos2 meses de fianza3 últimas nóminas. "".""",FALSE,912 170 986,piso,3200,9.88,"Calle de Francisco Silvela, Barrio Lista, Distrito Salamanca, Madrid, Madrid capital, Madrid","Madrid capital, Madrid",Madrid,Calle de Francisco Silvela, Barrio Lista , Distrito Salamanca ,324,5,3,,TRUE,TRUE,TRUE,FALSE,TRUE,en trámite,4,TRUE,FALSE,TRUE,,2019/9/23,,,,TRUE,,,,,,
40.43114,-3.67723,87059102,Alquiler de Ático en Lista,Profesional   Silvia .,"""Atico de 161 m2, en la calle General Diaz Porlier 75 (casi equina c/ Juan Bravo), de 2 dormitorios, mas uno de servicio, 2 baños mas 1 de servicio, cocina independiente, salón comedor y terraza de unos 20 metros cuadrados aproximadamente ademas de trastero en el sótano. 1 mes de fianza. Depósito: 2 meses y Seguro de responsabilidad civil. El barrio de Salamanca es una de las zonas más relevantes de Madrid, tanto por su peculiar distribución como por los vecinos que tradicionalmente han habitado sus emblemáticas calles. Su construcción data de la segunda mitad del siglo XIX y corresponde a la ampliación urbanística llevada a cabo durante el reinado de Isabel II. El precursor al que se debe su nombre fue el malagueño José de Salamanca y Mayol, Marqués de Salamanca, quien concibió un nuevo emplazamiento con una cuidada edificación que albergara a las clases aristocráticas y burguesas de Madrid. De estilo decimonónico, se caracteriza por su especial distribución regular en forma de damero con calles perpendiculares. Sus edificios gozan de especial interés gracias a su calidad arquitectónica y la belleza de sus fachadas.Tradicionalmente Salamanca fue una zona de uso residencial, especialmente habitada por las élites políticas y económicas del país. En los últimos cincuenta años este carácter residencial convive con otras actividades como la empresarial, la diplomática y, especialmente la comercial ya que es uno de las áreas de moda de lujo más importantes de la capital. La seña de identidad de las tiendas situadas en este barrio es la elegancia y el lujo. Aquí podemos encontrar las boutiques de los más prestigiosos diseñadores y firmas nacionales e internacionales. Alta costura, zapaterías con nombre y apellidos, complementos, joyerías y relojerías de primera línea mundial.La calle Ortega y Gasset es su principal eje comercial, no en vano es conocida como la Milla de Oro de la moda en Madrid. Los diseñadores triunfantes en las principales pasarelas internacionales ofrecen sus exclusivas propuestas en su entorno. Pero no le van a la zaga otras vías como la calle Serrano, lugar predilecto para alta costura especialmente masculina, la calle Claudio Coello o el callejón de Jorge Juan que en los últimos años ha experimentado un gran auge en la zona.Las galerías de arte y casas de subastas son otras de las grandes protagonistas comerciales del barrio y, en especial, el entorno de la calle Villanueva donde tienen su ubicación muchos de los coleccionistas con más larga y exitosa trayectoria del país, como la Fernández Braso o la galería de arte David Bardía.""",FALSE,912 176 873,piso,2700,16.77,", Barrio Lista, Distrito Salamanca, Madrid, Madrid capital, Madrid","Madrid capital, Madrid",Madrid,, Barrio Lista , Distrito Salamanca ,161,3,3,,TRUE,TRUE,TRUE,FALSE,TRUE,en trámite,7,TRUE,FALSE,TRUE,,2019/9/23,,,,,TRUE,TRUE,,,,
40.4335702,-3.6766459,87107297,Alquiler de Ático en calle de Maldonado,Profesional   MADRID-HOMES,"""Disponible entrada al apartamento a partir 25 octubre. MADRID-HOMES pone a su disposición estupendo ático de diseño, exterior, en barrio de Salamanca, reforma con primeras calidades. Dormitorios independientes.Se alquila amueblado aunque también existe la posibilidad de alquilarlo sin amueblar. Cocina completamente equipada para entrar a vivir. MUY LUMINOSO.Finca representativa muy tranquila, con portero físico, ascensor, trastero, aire acondicionado, calefacción central, 2 vecinos por planta. Incluido:-GASTOS DE COMUNIDAD-CALEFACCIÓN-PLAZA DE GARAJE.""",FALSE,916 350 843,piso,1800,20,"Calle de Maldonado, Barrio Lista, Distrito Salamanca, Madrid, Madrid capital, Madrid","Madrid capital, Madrid",Madrid,Calle de Maldonado, Barrio Lista , Distrito Salamanca ,90,2,1,,TRUE,TRUE,TRUE,TRUE,TRUE,,7,TRUE,FALSE,TRUE,TRUE,2019/9/26,,,,,,TRUE,TRUE,TRUE,,
40.4291101,-3.6796657,87139596,Alquiler de Piso en calle ortega y gasset,Profesional   HousinGo,"""HousinGo pone en alquiler esta lujosa vivienda totalmente a estrenar. Ubicada en la cuarta planta de un magnifico inmueble a 50 metros de la plaza del Marqués de Salamanca, en una de las calles principales del distrito de Salamanca, construida con materiales de primerísima calidad y acabados de lujo, la vivienda cuenta con 158m2Con sus 5 grandes ventanas exteriores en el salón (dividio en dos ambientes), y la cocina, la casa es extremadamente luminosa. La vivienda se divide en 3 habitaciones con 3 baños completos ensuite (dos con pie de ducha, y uno con bañera). Todas ellas con armarios empotrados.La cocina, con puertas de madera correderas, está totalmente equipada, y es muy espaciosa. Los electrodomésticos de primeras marcas y a estrenar (frigorífico, horno, lavaplatos, vitrocerámica).A parte, hay una cuarta habitación que sirve de cuarto de lavandería, con lavadora y más espacio para almacenar productos de limpieza. La vivienda tiene aire acondicionado centralizado, y calefacción por gas. Los suelos son de porcelana. Las puertas de la cocina y del salón, restauradas de la épica.El edificio tiene portero físico, ascensor, y está video-vigilado 24h. Se piden 1 mes de fianza, más dos meses adicionales de deposito. El contrato mínimo es de 12 meses, y se valoran estancias a largo plazo. Por lo tanto, para más de 1 año, el precio se puede negociar. No se admiten estudiantes.No duden en contactar para agendar una visita.""",FALSE,912 783 231,piso,3200,20.25,"Calle ortega y gasset, Barrio Lista, Distrito Salamanca, Madrid, Madrid capital, Madrid","Madrid capital, Madrid",Madrid,Calle ortega y gasset, Barrio Lista , Distrito Salamanca ,158,3,3,,TRUE,TRUE,TRUE,FALSE,TRUE,,4,TRUE,FALSE,TRUE,TRUE,2019/9/30,,,,,,,,,TRUE,
40.4308503,-3.6768626,87123735,"Alquiler de Piso en calle del General Díaz Porlier, 61",Particular    Jaimedom,"""ABSTENERSE AGENCIAS, SÓLO PARTICULARESAcogedora casa recién reformada y amueblada en el barrio de Lista. Destaca por sus acabados de alta calidad y cómoda distribución. Tiene calefacción central y aire acondicionado por conductos. En la reforma se instaló cámara aislamiento de ruidos en toda la vivienda. Pintura lisa color beige, suelo nuevo de parquet y focos led en techos. Ventanas climalit. Consta de 75m2 distribuidos en salón comedor, 2 habitaciones, cocina y un baño. Es una quinta planta interior, que da a un patio amplio que hace que la casa sea luminosa. La habitación principal con armarios a medida hasta el techo y cama de 1,50 con arcón de almacenaje. También tiene maletero. La segunda habitación con sofá cama y mesa despacho, también provista de armarios hasta el techo. El baño completo con plato de ducha y mueble a medida en lavabo. La cocina completamente equipada con todos los electrodomésticos.Conserje con horario mañana y tarde y el portal tiene rampa para personas con movilidad reducida.Es acogedora, cómoda y bien decorada. Ofrece confort en una zona privilegiada y muy bien comunicada.""",FALSE,699 345 258,piso,1700,22.67,"Calle del General Díaz Porlier, 61, Barrio Lista, Distrito Salamanca, Madrid, Madrid capital, Madrid","Madrid capital, Madrid",Madrid,"Calle del General Díaz Porlier, 61", Barrio Lista , Distrito Salamanca ,75,2,1,,TRUE,TRUE,TRUE,TRUE,TRUE,,5,FALSE,TRUE,TRUE,TRUE,2019/9/30,,,,,,,,TRUE,,
40.4313176,-3.6769025,87023612,"Alquiler de Piso en calle Padilla, 41",Profesional   Vivenio Madrid,"""Situado en la milla de oro de Madrid. “Sin comisiones de agencia”Magnifico vivienda de 2 dormitorios, ubicado en pleno Corazón del barrio de Salamanca, a un paso de Plaza de Marqués de Salamanca y Calle Serrano, Juan Bravo y Velázquez. A escasos metros de la Clínica Nuestra del Rosario, colegios (Nuestra Señora del Pilar, Loreto y Cardenal Cisneros).Salón comedor con estanterías, con cocina totalmente amueblada con electrodomésticos. Suelos de parquet. Ambos dormitorios gozan de privilegiadas vistas y luminosidad y cuentan con armarios empotrados.Edificio antiguo con encanto. Portal señorial con ascensor y servicio de portería.Excelente ubicación en uno de los barrios más selectos de la capital, convirtiéndose en una de las más importantes zonas comerciales de la ciudad y uno de los barrios de mayor nivel de vida de Europa con la mayor zona de compras de lujo de Madrid en torno a las calles Serrano, Velázquez y Ortega y Gasset.¿Cómo dejar esta oportunidad?Consulte condiciones y disponibilidad.Sin comisiones de agencia.REQUISITOS1 mes de fianza.Seguro de impago.Seguro de vivienda a la firma de contrato.Acreditar solvencia mediante aportación de 3 últimas nóminas.""",FALSE,917 222 018,piso,1320,22,"Calle Padilla, 41, Urb. Edificio Padilla, Barrio Lista, Distrito Salamanca, Madrid, Madrid capital, Madrid","Madrid capital, Madrid",Madrid,,,,60,2,1,,TRUE,TRUE,TRUE,FALSE,TRUE,en trámite,4,TRUE,FALSE,TRUE,,2019/9/30,,,,,,,,,,
40.4356893,-3.6751211,87140676,Alquiler de Piso en Lista,Profesional   Urbana 65,"""URBANA 65 Alquila Precioso apartamento amueblado con mucho gusto ubicado muy próximo al intercambiador de Avenida de América. Séptima planta interior orientado a patio de manzana, lo que lo hace muy luminoso y tranquilo. Consta de un dormitorio doble, cocina independiente totalmente equipada, salón comedor de unos 18m2 y baño completo.Dispone de calefacción central, ventanas climalit, aire acondicionado, suelos parquet y gastos de comunidad incluidos en el precio.Finca con ascensor y servicio de Portería. Mejor ver!""",FALSE,910 754 953,piso,1100,14.67,", Barrio Lista, Distrito Salamanca, Madrid, Madrid capital, Madrid","Madrid capital, Madrid",Madrid,, Barrio Lista , Distrito Salamanca ,75,,1,,TRUE,,TRUE,TRUE,TRUE,,7,,,TRUE,TRUE,2019/9/30,70,1964,,,,,,,,
40.4318853,-3.6793192,87083475,"Alquiler de Piso en PRINCIPE DE VERGARA, 56",Profesional   H.A.M .,"""Estupenda vivienda en edificio señorial del BARRIO DE SALAMANCA. El piso cuenta con dos habitaciones, cocina y baño. Completamente REFORMADO y equipado con menaje, sabanas, toallas, etc. Servicio de portería.La zona tiene todos los servicios; comercios, bancos, restaurantes, etc. Excelente comunicación tanto en autobús como en metro; Núñez de Balboa (L5 y L9) y Lista (L4).Posibilidad de arrendar por periodos cortos, consultar condiciones.Mes y medio de fianza. Mes de agencia por cuenta de la parte arrendataria. Si desea verlo no dude en contactar con nosotros. English spoken!""",FALSE,918 007 745,piso,1900,32.2,"PRINCIPE DE VERGARA, 56, Barrio Lista, Distrito Salamanca, Madrid, Madrid capital, Madrid","Madrid capital, Madrid",Madrid,"PRINCIPE DE VERGARA, 56", Barrio Lista , Distrito Salamanca ,59,2,1,,TRUE,TRUE,TRUE,TRUE,TRUE,,1,FALSE,TRUE,TRUE,,2019/9/30,,,gas natural,,,,,,,
40.4315293,-3.675956,87138062,Alquiler de Piso en Lista,Edi,"""Apartamento de 35 metros cuadrados, un dormitorio, baño, salón y cocina integrada. Totalmente reformado y equipado. Interior luminoso. Cuarto piso con ascensor. Calefacción eléctrica. Portero físico y automático. No se admiten mascotas. Metro Lista y Núñez de Balboa. Ubicación excelente. 1000 euros mes. Dos meses de fianza. Se requiere documentación acreditativa de situación laboral.""",TRUE,636 799 157,piso,1000,27.03,", Barrio Lista, Distrito Salamanca, Madrid, Madrid capital, Madrid","Madrid capital, Madrid",Madrid,, Barrio Lista , Distrito Salamanca ,37,,1,,TRUE,,TRUE,TRUE,TRUE,en trámite,4,FALSE,TRUE,TRUE,,2019/9/30,35,,,,,,,,,